,Unnamed: 0,month,trip_id,vehicle_id,started_at,ended_at,duration,start_location_name,end_location_name,user_id,trip_ledger_id
1595,1595,May,1689999,3689671,2019-05-27 20:26:00,2019-05-27 20:31:00,0:04:46,"Central @ Tingley, Albuquerque, NM 87104, USA","Central @ New York, Albuquerque, NM 87104, USA",36389715,1562284
1596,1596,May,1690019,4520003,2019-05-27 20:27:00,2019-05-27 20:29:00,0:02:09,"Central @ Tingley, Albuquerque, NM 87104, USA","Central @ New York, Albuquerque, NM 87104, USA",36387916,1562236
1597,1597,May,1690032,9403063,2019-05-27 20:28:00,2019-05-27 20:32:00,0:04:13,"2713 Central Ave NW, Albuquerque, NM 87104, USA","Central @ New York, Albuquerque, NM 87104, USA",36386700,1562297
1598,1598,May,1690055,6865874,2019-05-27 20:29:00,2019-05-27 22:41:00,2:12:05,"1400 Central Ave SE, Albuquerque, NM 87106, USA","1100 Central Ave NE, Albuquerque, NM 87106, USA",36083103,1564874
1599,1599,May,1690081,3550615,2019-05-27 20:30:00,2019-05-27 20:34:00,0:03:38,"330 Tijeras Ave NW, Albuquerque, NM 87102, USA","524 Central Ave SW, Albuquerque, NM 87102, USA",36391718,1562323
1600,1600,May,1690083,8730949,2019-05-27 20:30:00,2019-05-27 20:41:00,0:11:20,"3410 Central Ave SE, Albuquerque, NM 87106, USA","113 Carlisle Blvd SE, Albuquerque, NM 87106, USA",35552345,1562472
1601,1601,May,1690084,9122248,2019-05-27 20:30:00,2019-05-27 20:34:00,0:03:43,"330 Tijeras Ave NW, Albuquerque, NM 87102, USA","524 Central Ave SW, Albuquerque, NM 87102, USA",36110994,1562328
1602,1602,May,1690086,4604753,2019-05-27 20:30:00,2019-05-27 20:59:00,0:29:14,"2414 Central Ave SE, Albuquerque, NM 87106, USA","2550 Central Ave NE, Albuquerque, NM 87106, USA",36399756,1562820
1603,1603,May,1690089,4604914,2019-05-27 20:30:00,2019-05-27 20:54:00,0:23:31,"401 3rd St NW, Albuquerque, NM 87102, USA","1710 Central Ave SW, Albuquerque, NM 87104, USA",36401802,1562721
1604,1604,May,1690090,4373783,2019-05-27 20:30:00,2019-05-27 21:24:00,0:54:04,"Jones Motor Co., Albuquerque, NM 87106, USA","Jones Motor Co., Albuquerque, NM 87106, USA",36400531,1563351
